"Name","Version","License"
"Jinja2","3.1.6","BSD-3 License"
"MarkupSafe","3.0.3","BSD-3-Clause"
"PyYAML","6.0.3","MIT License"
"Pygments","2.19.2","BSD-2 License"
"aiohappyeyeballs","2.6.1","Python Software Foundation License"
"aiohttp","3.13.3","Apache-2.0 AND MIT"
"aiosignal","1.4.0","Apache Software License"
"annotated-doc","0.0.4","MIT"
"annotated-types","0.7.0","MIT License"
"anthropic","0.79.0","MIT License"
"anyio","4.12.1","MIT"
"attrs","25.4.0","MIT"
"certifi","2026.2.25","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","2.0.0","MIT"
"charset-normalizer","3.4.4","MIT"
"click","8.3.1","BSD-3-Clause"
"contourpy","1.3.3","BSD-3 License"
"cryptography","46.0.5","Apache-2.0 OR BSD-3-Clause"
"cycler","0.12.1","BSD-3 License"
"datasets","4.5.0","Apache Software License"
"dill","0.4.0","BSD-3 License"
"distro","1.9.0","Apache Software License"
"docstring_parser","0.17.0","MIT License"
"fastuuid","0.14.0","BSD-3 License"
"filelock","3.24.3","MIT"
"fonttools","4.61.1","MIT"
"frozenlist","1.8.0","Apache-2.0"
"fsspec","2025.10.0","BSD-3-Clause"
"google-auth","2.48.0","Apache Software License"
"google-genai","1.62.0","Apache-2.0"
"h11","0.16.0","MIT License"
"hf-xet","1.3.1","Apache-2.0"
"httpcore","1.0.9","BSD-3-Clause"
"httpx","0.28.1","BSD-3 License"
"huggingface_hub","1.5.0","Apache Software License"
"idna","3.11","BSD-3-Clause"
"importlib_metadata","8.7.1","Apache-2.0"
"jiter","0.13.0","MIT License"
"jsonschema","4.26.0","MIT"
"jsonschema-specifications","2025.9.1","MIT"
"kiwisolver","1.4.9","BSD-3 License"
"litellm","1.81.10","MIT License"
"markdown-it-py","4.0.0","MIT License"
"matplotlib","3.10.8","Python Software Foundation License"
"mdurl","0.1.2","MIT License"
"multidict","6.7.1","Apache License 2.0"
"multiprocess","0.70.18","BSD-3 License"
"numpy","2.4.2","BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0"
"openai","2.24.0","Apache Software License"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause"
"pandas","3.0.0","BSD-3 License"
"pillow","12.1.1","MIT-CMU"
"propcache","0.4.1","Apache Software License"
"protobuf","6.33.5","3-Clause BSD License"
"pyarrow","23.0.1","Apache-2.0"
"pyasn1","0.6.2","BSD-2-Clause"
"pyasn1_modules","0.4.2","BSD-2 License"
"pycparser","3.0","BSD-3-Clause"
"pydantic","2.12.5","MIT"
"pydantic_core","2.41.5","MIT"
"pyparsing","3.3.2","MIT"
"python-dateutil","2.9.0.post0","Apache Software License; BSD-3 License"
"python-dotenv","1.2.1","BSD-3-Clause"
"referencing","0.37.0","MIT"
"regex","2026.2.19","Apache-2.0 AND CNRI-Python"
"requests","2.32.5","Apache Software License"
"rich","14.3.3","MIT License"
"rpds-py","0.30.0","MIT"
"rsa","4.9.1","Apache Software License"
"shellingham","1.5.4","ISC License (ISCL)"
"six","1.17.0","MIT License"
"sniffio","1.3.1","Apache Software License; MIT License"
"tenacity","9.1.4","Apache Software License"
"tiktoken","0.12.0","MIT"
"tokenizers","0.22.2","Apache Software License"
"tqdm","4.67.3","MPL-2.0 AND MIT"
"typer","0.24.1","MIT"
"typing-inspection","0.4.2","MIT"
"typing_extensions","4.15.0","PSF-2.0"
"urllib3","2.6.3","MIT"
"websockets","15.0.1","BSD-3 License"
"xxhash","3.6.0","BSD-2 License"
"yarl","1.22.0","Apache Software License"
"zipp","3.23.0","MIT"
